🕘️更新时间,#genre#
2026-01-20 12:39:32,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8

☘️江苏频道ly,#genre#
苏州新闻综合ly,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济ly,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活ly,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州生活资讯ly,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8

☘️卫视频道ly,#genre#
安徽卫视ly,http://118.193.115.2:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://123.113.101.206:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16042_1.m3u8?key=txiptv
安徽卫视ly,http://223.14.160.12:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://139.227.221.119:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://60.187.245.106:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://182.37.41.46:8154/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视ly,http://39.77.164.174:9901/tsfile/live/0002_23.m3u8?key=txiptv
兵团卫视ly,http://39.77.164.174:9901/tsfile/live/0002_44.m3u8?key=txiptv
重庆卫视ly,http://118.193.115.2:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16041_1.m3u8?key=txiptv
重庆卫视ly,http://223.14.160.12:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视ly,http://139.227.221.119:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视ly,http://60.187.245.106:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视ly,http://182.37.41.46:8154/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视ly,http://39.77.164.174:9901/tsfile/live/0002_30.m3u8?key=txiptv
东方卫视ly,http://69.30.246.194/live/dfws.m3u8
东方卫视ly,http://118.193.115.2:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://123.113.101.206:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16027_1.m3u8?key=txiptv
东方卫视ly,http://223.14.160.12:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://139.227.221.119:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://60.187.245.106:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://182.37.41.46:8154/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视ly,http://39.77.164.174:9901/tsfile/live/0002_20.m3u8?key=txiptv
东南卫视ly,http://118.193.115.2:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视ly,http://223.14.160.12:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视ly,http://139.227.221.119:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视ly,http://60.187.245.106:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视ly,http://182.37.41.46:8154/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视ly,http://39.77.164.174:9901/tsfile/live/0002_57.m3u8?key=txiptv
甘肃卫视ly,http://118.193.115.2:9901/tsfile/live/0139_2.m3u8?key=txiptv
广东卫视ly,http://118.193.115.2:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16034_1.m3u8?key=txiptv
广东卫视ly,http://223.14.160.12:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视ly,http://139.227.221.119:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视ly,http://60.187.245.106:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视ly,http://182.37.41.46:8154/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视ly,http://39.77.164.174:9901/tsfile/live/0002_26.m3u8?key=txiptv
广西卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16043_1.m3u8?key=txiptv
广西卫视ly,http://182.37.41.46:8154/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视ly,http://118.193.115.2:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视ly,http://123.113.101.206:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视ly,http://sun135790.x3322.net:9901/tsfile/live/16039_1.m3u8?key=txiptv
贵州卫视ly,http://223.14.160.12:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视ly,http://182.37.41.46:8154/tsfile/live/0120_1.m3u8?key=txiptv
