🕘️更新时间,#genre#
2026-01-20 12:46:01,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8

☘️江苏频道,#genre#
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8

☘️卫视频道,#genre#
北京卫视,http://118.193.115.2:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://sun135790.x3322.net:9901/tsfile/live/16030_1.m3u8?key=txiptv
北京卫视,http://139.227.221.119:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://60.187.245.106:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://182.37.41.46:8154/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://39.77.164.174:9901/tsfile/live/0002_22.m3u8?key=txiptv
湖南卫视,http://69.30.246.194/live/hnws.m3u8
湖南卫视,http://118.193.115.2:9901/tsfile/live/0128_2.m3u8?key=txiptv
湖南卫视,http://123.113.101.206:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://sun135790.x3322.net:9901/tsfile/live/16026_1.m3u8?key=txiptv
湖南卫视,http://223.14.160.12:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://139.227.221.119:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://60.187.245.106:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://182.37.41.46:8154/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://39.77.164.174:9901/tsfile/live/0002_18.m3u8?key=txiptv
四川卫视,http://sun135790.x3322.net:9901/tsfile/live/16040_1.m3u8?key=txiptv
四川卫视,http://223.14.160.12:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://60.187.245.106:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://182.37.41.46:8154/tsfile/live/0123_1.m3u8?key=txiptv

☘️动画频道,#genre#
北京卡酷少儿,http://39.77.164.174:9901/tsfile/live/0002_47.m3u8?key=txiptv
